Individual	ASIR	Hybrid_Classification	Sample_Group	Lifestage	Comment	Hybrid_Generation	Hybrid_Generation2	River_Mile		SL	TL
XtexW20SJR_0055		Xtex_X_ClatBx	XtexW20SJR_age1	age1		3	3		XtexW20SJR_0055	82	104
XtexW20SJR_0056		F1	XtexW20SJR_age1	age1		1	1		XtexW20SJR_0056	97	125
XtexW20SJR_0057		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0057	388	455
XtexW20SJR_0058		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0058	433	502
XtexW20SJR_0059		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0059	404	472
XtexW20SJR_0060		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0060	426	495
XtexW20SJR_0061		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0061	438	508
XtexW20SJR_0062		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0062	417	485
XtexW20SJR_0063		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0063	432	501
XtexW20SJR_0064		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0064	427	496
XtexW20SJR_0065		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0065	485	502
XtexW20SJR_0066		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0066	446	520
XtexW20SJR_0067		RBS	XtexW20SJR_age1	age1		0	RBS		XtexW20SJR_0067	335	398
XtexW20SJR_0068		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0068	415	494
XtexW20SJR_0069		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0069	472	544
XtexW20SJR_0070		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0070	495	568
XtexW20SJR_0071		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0071	395	462
XtexW20SJR_0072		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0072	506	578
XtexW20SJR_0073		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0073	420	496
XtexW20SJR_0074		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0074	470	555
XtexW20SJR_0075		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0075	409	480
XtexW20SJR_0076		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0076	382	451
XtexW20SJR_0077		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0077	420	491
XtexW20SJR_0078		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0078	500	580
XtexW20SJR_0079		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0079	490	571
XtexW20SJR_0080		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0080	392	472
XtexW20SJR_0081		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0081	485	567
XtexW20SJR_0082		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0082	390	459
XtexW20SJR_0083		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0083	493	575
XtexW20SJR_0084		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0084	493	532
XtexW20SJR_0085		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0085	420	490
XtexW20SJR_0086		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0086	435	520
XtexW20SJR_0087		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0087	411	478
XtexW20SJR_0088		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0088	440	511
XtexW20SJR_0089		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0089	402	469
XtexW20SJR_0090		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0090	389	456
XtexW20SJR_0091		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0091	474	546
XtexW20SJR_0092		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0092	442	512
XtexW20SJR_0093		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0093	511	586
XtexW20SJR_0094		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0094	465	536
XtexW20SJR_0095		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0095	492	565
XtexW20SJR_0096		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0096	466	538
XtexW20SJR_0097		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0097	508	582
XtexW20SJR_0098		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0098	457	528
XtexW20SJR_0099		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0099	445	515
XtexW20SJR_0100		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0100	375	441
XtexW20SJR_0101		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0101	481	553
XtexW20SJR_0102		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0102	459	530
XtexW20SJR_0103		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0103	518	593
XtexW20SJR_0104		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0104	461	532
XtexW20SJR_0105		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0105	418	486
XtexW20SJR_0106		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0106	481	553
XtexW20SJR_0107		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0107	423	492
XtexW20SJR_0108		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0108	424	493
XtexW20SJR_0109		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0109	400	467
XtexW20SJR_0110		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0110	438	508
XtexW20SJR_0112		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0112	468	540
XtexW20SJR_0113		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0113	460	531
XtexW20SJR_0114		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0114	410	478
XtexW20SJR_0115		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0115	374	440
XtexW20SJR_0116		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0116	412	480
XtexW20SJR_0117		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0117	380	446
XtexW20SJR_0118		RBS	XtexW20SJR_age1	age1		0	RBS		XtexW20SJR_0118	143	193
XtexW20SJR_0119		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0119	450	520
XtexW20SJR_0120		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0120	438	508
XtexW20SJR_0121		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0121	462	533
XtexW20SJR_0122		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0122	387	453
XtexW20SJR_0123		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0123	365	430
XtexW20SJR_0124		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0124	478	550
XtexW20SJR_0125		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0125	431	500
XtexW20SJR_0126		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0126	380	446
XtexW20SJR_0127		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0127	430	499
XtexW20SJR_0128		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0128	478	550
XtexW20SJR_0129		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0129	474	546
XtexW20SJR_0130		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0130	471	543
XtexW20SJR_0131		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0131	438	508
XtexW20SJR_0132		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0132	434	503
XtexW20SJR_0133		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0133	352	416
XtexW20SJR_0134		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0134	470	542
XtexW20SJR_0135		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0135	498	572
XtexW20SJR_0136		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0136	509	583
XtexW20SJR_0137		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0137	435	504
XtexW20SJR_0138		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0138	419	487
XtexW20SJR_0139		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0139	441	511
XtexW20SJR_0140		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0140	437	507
XtexW20SJR_0141		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0141	453	524
XtexW20SJR_0142		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0142	392	459
XtexW20SJR_0143		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0143	465	537
XtexW20SJR_0144		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0144	479	551
XtexW20SJR_0145		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0145	431	500
XtexW20SJR_0146		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0146	408	476
XtexW20SJR_0147		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0147	446	516
XtexW20SJR_0148		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0148	399	466
XtexW20SJR_0149		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0149	443	513
XtexW20SJR_0150		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0150	400	467
XtexW20SJR_0151		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0151	383	449
XtexW20SJR_0152		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0152	490	563
XtexW20SJR_0153		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0153	423	492
XtexW20SJR_0154		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0154	410	478
