Individual	ASIR	Hybrid_Classification	Sample_Group	Lifestage	Comment	Hybrid_Generation	Hybrid_Generation2	River_Mile		SL	TL
XtexW21SJR_0768		F1	XtexW21SJR_JUV	JUV		1	1	113.8	XtexW21SJR_0768	19.7	25
XtexW21SJR_0770		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0770	18.6	22.3
XtexW21SJR_0771		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0771	18.6	24.4
XtexW21SJR_0774		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0774	20.9	27.5
XtexW21SJR_0775		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0775	19.5	25.8
XtexW21SJR_0778		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0778	21.5	28.3
XtexW21SJR_0780		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0780	18	23
XtexW21SJR_0782		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0782	21.1	26
XtexW21SJR_0783		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0783	22.4	29.4
XtexW21SJR_0784		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0784	22	29.2
XtexW21SJR_0785		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0785	18.7	24.6
XtexW21SJR_0786		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0786	22.3	26.9
XtexW21SJR_0787		RBS	XtexW21SJR_JUV	JUV		0	RBS	113.8	XtexW21SJR_0787	20.3	26.1
XtexW21SJR_0791		RBS	XtexW21SJR_JUV	JUV		0	RBS	104.4	XtexW21SJR_0791	19.2	25
XtexW21SJR_0793		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0793	21.1	26.1
XtexW21SJR_0794		F1	XtexW21SJR_JUV	JUV		1	1	100.5	XtexW21SJR_0794	22.7	27.6
XtexW21SJR_0795		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0795	21.7	25.8
XtexW21SJR_0796		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0796	22.4	28.1
XtexW21SJR_0797		F1	XtexW21SJR_JUV	JUV		1	1	100.5	XtexW21SJR_0797	19.5	24.6
XtexW21SJR_0798		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0798	20.5	26.4
XtexW21SJR_0799		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0799	22.7	30.3
XtexW21SJR_0800		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0800	23.3	30.1
XtexW21SJR_0801		Xtex_X_XtexBx	XtexW21SJR_JUV	JUV		3	3	100.5	XtexW21SJR_0801	19.9	23
XtexW21SJR_0802		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0802	17.8	22.5
XtexW21SJR_0803		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0803	22	28.5
XtexW21SJR_0804		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0804	21	26.8
XtexW21SJR_0805		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0805	22.6	29.9
XtexW21SJR_0806		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0806	24.4	31.2
XtexW21SJR_0807		RBS	XtexW21SJR_JUV	JUV		0	RBS	100.5	XtexW21SJR_0807	23.7	30.6
XtexW21SJR_0808		RBS	XtexW21SJR_JUV	JUV		0	RBS	96.3	XtexW21SJR_0808	21.9	28.7
XtexW21SJR_0812		Clat_X_ClatBx	XtexW21SJR_JUV	JUV		3	3	79.4	XtexW21SJR_0812	25	31.5
XtexW21SJR_0814		RBS	XtexW21SJR_JUV	JUV		0	RBS	79.3	XtexW21SJR_0814	19.9	22.4
XtexW21SJR_0815		RBS	XtexW21SJR_JUV	JUV		0	RBS	79.3	XtexW21SJR_0815	19.7	24.5
XtexW21SJR_0816		RBS	XtexW21SJR_JUV	JUV		0	RBS	108.8	XtexW21SJR_0816	35.9	45.5
XtexW21SJR_1070		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1070	21.8	28.2
XtexW21SJR_1071		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1071	21.9	26.8
XtexW21SJR_1072		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1072	23.5	29.9
XtexW21SJR_1074		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1074	18.1	23
XtexW21SJR_1082		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1082	19.7	25.9
XtexW21SJR_1085		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1085	18.6	24.7
XtexW21SJR_1095		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1095	17.1	22.7
XtexW21SJR_1100		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1100	20.7	27.1
XtexW21SJR_1105		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1105	22.4	30.1
XtexW21SJR_1106		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1106	20.8	26.8
XtexW21SJR_1112		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1112	18.7	23.6
XtexW21SJR_1114		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1114	18.2	23.5
XtexW21SJR_1121		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1121	20.7	24.3
XtexW21SJR_1123		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1123	22.4	28.2
XtexW21SJR_1134		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1134	18.7	24.1
XtexW21SJR_1140		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1140	21.4	27.6
XtexW21SJR_1141		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1141	20.4	26.7
XtexW21SJR_1142		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1142	20.2	26.1
XtexW21SJR_1145		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1145	19.6	24.6
XtexW21SJR_1146		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1146	19.6	25.3
XtexW21SJR_1148		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1148	17.5	24.4
XtexW21SJR_1157		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1157	16.5	21.6
XtexW21SJR_1164		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1164	18.8	24.8
XtexW21SJR_1165		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1165	17.6	22.9
XtexW21SJR_1170		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1170	23.3	31.6
XtexW21SJR_1175		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1175	17.1	21.6
XtexW21SJR_1180		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1180	19.1	25.8
XtexW21SJR_1185		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1185	19.2	24.2
XtexW21SJR_1186		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1186	18.5	22.5
XtexW21SJR_1190		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1190	22.6	29.1
XtexW21SJR_1193		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1193	18.9	23.9
XtexW21SJR_1194		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1194	18.5	24.3
XtexW21SJR_1195		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1195	21.9	28.5
XtexW21SJR_1199		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1199	20.5	27.1
XtexW21SJR_1201		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1201	18.6	22.7
XtexW21SJR_1202		RBS	XtexW21SJR_JUV	JUV		0	RBS	74.9	XtexW21SJR_1202	16.5	20.6
XtexW21SJR_1206		RBS	XtexW21SJR_JUV	JUV		0	RBS	57.9	XtexW21SJR_1206	22.2	28.7
XtexW21SJR_1209		RBS	XtexW21SJR_JUV	JUV		0	RBS	57.9	XtexW21SJR_1209	18.4	23.4
XtexW21SJR_1211		RBS	XtexW21SJR_JUV	JUV		0	RBS	57.9	XtexW21SJR_1211	19.5	25.5
XtexW21SJR_1220		RBS	XtexW21SJR_JUV	JUV		0	RBS	17.7	XtexW21SJR_1220	22.9	29.1
XtexW21SJR_1221		RBS	XtexW21SJR_JUV	JUV		0	RBS	17.7	XtexW21SJR_1221	18.7	24.1
XtexW21SJR_1222		ClatBx_X_F1	XtexW21SJR_JUV	JUV		3	3	17.7	XtexW21SJR_1222	29.5	37.3
XtexW21SJR_1235		RBS	XtexW21SJR_JUV	JUV		0	RBS	8.1	XtexW21SJR_1235	20.7	24.8
XtexW21SJR_1238		RBS	XtexW21SJR_JUV	JUV		0	RBS	8.1	XtexW21SJR_1238	19.4	24.2
