cat	bpp
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	0.63754
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	0.88589
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	0.877256667
RBS	1
RBS_X_RBSBx	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	0.97313
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_FMSBx	0.89928
FMSBx_X_RBSBx	1
F1	1
FMSBx_X_RBSBx	1
RBS_X_FMSBx	0.884166667
RBS_X_FMSBx	0.8339
FMSBx_X_RBSBx	0.95492
FMSBx_X_RBSBx	1
RBS	1
RBS	1
RBS	1
FMS_X_RBSBx	0.985326667
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
F1	1
F1	1
F1	1
RBS	1
FMS_X_RBSBx	1
F1	1
RBS_X_RBSBx	0.99999
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	1
RBS	1
F1	1
F1	1
RBS	1
F1	1
F1	1
RBS	1
RBS	1
RBS	1
F1	1
F1	1
RBS	1
RBS	1
RBS	1
F1	1
F1	1
F1	1
F1	1
F1	0.99995
F1	1
FMS_X_RBSBx	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	0.99997
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	1
F1	1
FMS	1
FMSBx_X_RBSBx	0.649186667
FMS_X_RBSBx	0.93115
FMS_X_FMSBx	0.99494
FMS_X_FMSBx	0.607906667
F1	1
FMSBx_X_RBSBx	0.997626667
FMS	0.992913333
FMSBx_X_RBSBx	0.99999
F1	0.99967
F1	0.999876667
F1	0.99992
FMSBx_X_RBSBx	0.99997
F1	1
F1	0.9997
F1	1
F1	1
FMS_X_RBSBx	0.997406667
FMS_X_FMSBx	0.95767
F1	1
F1	0.99994
F1	1
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
FMSBx	0.9777
RBS	1
RBS	1
RBS	1
F1	0.996836667
F1	0.688816667
F1	0.99951
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
FMS	1
RBS	1
F1	0.99806
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
F1	0.99983
RBS	1
RBS	1
F1	1
RBS	1
RBS	1
RBS	1
RBS_X_RBSBx	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
FMS_X_FMSBx	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
RBS	1
FMSBx_X_F1	0.98353
RBS	1
RBS	1
