param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_151_pop_0,0.000043,0.000001,0.000000,0.000362
q_ind_152_pop_0,0.002635,0.002567,0.000301,0.005244
q_ind_153_pop_0,0.000265,0.000017,0.000000,0.001745
q_ind_154_pop_0,0.000212,0.000015,0.000000,0.001389
q_ind_155_pop_0,0.002473,0.002405,0.000899,0.004485
q_ind_156_pop_0,0.000250,0.000015,0.000000,0.001568
q_ind_157_pop_0,0.000664,0.000463,0.000000,0.002384
q_ind_158_pop_0,0.000039,0.000001,0.000000,0.000343
q_ind_159_pop_0,0.000124,0.000004,0.000000,0.001002
q_ind_160_pop_0,0.000032,0.000001,0.000000,0.000293
q_ind_161_pop_0,0.002496,0.002421,0.001065,0.004370
q_ind_162_pop_0,0.000123,0.000004,0.000000,0.000985
q_ind_163_pop_0,0.000068,0.000002,0.000000,0.000592
q_ind_164_pop_0,0.000035,0.000001,0.000000,0.000296
q_ind_165_pop_0,0.000052,0.000001,0.000000,0.000458
q_ind_166_pop_0,0.000043,0.000001,0.000000,0.000380
q_ind_167_pop_0,0.003613,0.003545,0.001965,0.005619
q_ind_168_pop_0,0.000104,0.000005,0.000000,0.000832
q_ind_169_pop_0,0.000162,0.000013,0.000000,0.001020
q_ind_170_pop_0,0.000088,0.000003,0.000000,0.000730
q_ind_171_pop_0,0.001543,0.001474,0.000435,0.003033
q_ind_172_pop_0,0.001435,0.001379,0.000440,0.002731
q_ind_173_pop_0,0.000056,0.000002,0.000000,0.000460
q_ind_174_pop_0,0.001919,0.001846,0.000636,0.003574
q_ind_175_pop_0,0.000073,0.000003,0.000000,0.000590
q_ind_176_pop_0,0.000066,0.000002,0.000000,0.000564
q_ind_177_pop_0,0.001429,0.001321,0.000000,0.003966
q_ind_178_pop_0,0.000034,0.000001,0.000000,0.000305
q_ind_179_pop_0,0.499890,0.499856,0.495937,0.504210
q_ind_180_pop_0,0.499476,0.499700,0.497914,0.500121
q_ind_181_pop_0,0.500167,0.500153,0.496834,0.503491
q_ind_182_pop_0,0.500981,0.500376,0.499740,0.504345
q_ind_183_pop_0,0.008712,0.008622,0.005818,0.012000
q_ind_184_pop_0,0.496180,0.496277,0.493108,0.498634
q_ind_185_pop_0,0.372938,0.372820,0.364183,0.381670
q_ind_186_pop_0,0.498211,0.498062,0.495118,0.501875
q_ind_187_pop_0,0.500149,0.500000,0.499697,0.501569
q_ind_188_pop_0,0.500017,0.500000,0.499761,0.500420
q_ind_189_pop_0,0.500065,0.500000,0.497326,0.502718
q_ind_190_pop_0,0.499415,0.499685,0.496979,0.501499
q_ind_191_pop_0,0.471533,0.471572,0.465910,0.476745
q_ind_192_pop_0,0.500645,0.500261,0.499162,0.503142
q_ind_193_pop_0,0.500171,0.500130,0.496188,0.504629
q_ind_194_pop_0,0.503096,0.503007,0.500585,0.506037
q_ind_195_pop_0,0.499492,0.499592,0.497475,0.501606
q_ind_196_pop_0,0.501888,0.501646,0.498924,0.506216
q_ind_197_pop_0,0.336710,0.336685,0.326295,0.347272
q_ind_198_pop_0,0.503316,0.503242,0.500407,0.506493
q_ind_199_pop_0,0.248000,0.248013,0.238099,0.258041
q_ind_200_pop_0,0.287706,0.287700,0.277396,0.298101
q_ind_201_pop_0,0.499891,0.500000,0.498490,0.500556
q_ind_202_pop_0,0.489111,0.489109,0.483196,0.495111
q_ind_203_pop_0,0.472477,0.472533,0.466715,0.477844
q_ind_204_pop_0,0.500166,0.500000,0.499523,0.502456
q_ind_205_pop_0,0.500287,0.500000,0.498238,0.502851
q_ind_206_pop_0,0.501003,0.500994,0.497201,0.505042
q_ind_207_pop_0,0.497552,0.497612,0.495218,0.499722
q_ind_208_pop_0,0.498111,0.498096,0.495480,0.501258
q_ind_209_pop_0,0.002352,0.002337,0.000000,0.004899
q_ind_210_pop_0,0.306477,0.306517,0.296483,0.316295
q_ind_211_pop_0,0.499824,0.500000,0.497793,0.500645
q_ind_212_pop_0,0.499947,0.500000,0.499176,0.500210
q_ind_213_pop_0,0.203464,0.203541,0.191432,0.215225
q_ind_214_pop_0,0.004250,0.004177,0.002085,0.006811
q_ind_215_pop_0,0.499714,0.500000,0.497759,0.500445
q_ind_216_pop_0,0.498041,0.498062,0.494351,0.501879
q_ind_217_pop_0,0.295143,0.295128,0.285589,0.304862
q_ind_218_pop_0,0.292757,0.292807,0.282838,0.302552
q_ind_219_pop_0,0.509118,0.509019,0.504676,0.514245
q_ind_220_pop_0,0.547280,0.547211,0.535753,0.558888
q_ind_221_pop_0,0.506898,0.506842,0.499573,0.514478
q_ind_222_pop_0,0.541496,0.541576,0.530250,0.552634
q_ind_223_pop_0,0.498974,0.498951,0.495117,0.502925
q_ind_224_pop_0,0.506580,0.506511,0.498463,0.514913
q_ind_225_pop_0,0.502810,0.502852,0.496706,0.508479
q_ind_226_pop_0,0.499796,0.499774,0.494842,0.504744
q_ind_227_pop_0,0.503100,0.503078,0.498731,0.507609
