param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_216_anc_1-1,0.000099,0.000000,0.000000,0.001087
Q_ind_217_anc_1-1,0.004015,0.003738,0.000000,0.009598
Q_ind_218_anc_1-1,0.000181,0.000000,0.000000,0.001944
Q_ind_219_anc_1-1,0.000497,0.000002,0.000000,0.003645
Q_ind_220_anc_1-1,0.018893,0.018612,0.010455,0.028760
Q_ind_221_anc_1-1,0.145033,0.144768,0.127016,0.164470
Q_ind_222_anc_1-1,0.045058,0.044898,0.033981,0.057039
Q_ind_223_anc_1-1,0.135266,0.135023,0.118008,0.153883
Q_ind_224_anc_1-1,0.010920,0.010756,0.005531,0.017148
Q_ind_225_anc_1-1,0.062941,0.062741,0.050662,0.076020
Q_ind_226_anc_1-1,0.027395,0.027314,0.019320,0.036181
Q_ind_227_anc_1-1,0.018077,0.017835,0.011208,0.026012
Q_ind_228_anc_1-1,0.019433,0.019234,0.013090,0.026683
Q_ind_229_anc_1-1,0.019132,0.019018,0.012432,0.026657
Q_ind_230_anc_1-1,0.022670,0.022555,0.014644,0.031725
Q_ind_231_anc_1-1,0.014152,0.013965,0.007646,0.021926
Q_ind_232_anc_1-1,0.013674,0.013526,0.008013,0.020099
Q_ind_233_anc_1-1,0.021559,0.021414,0.013908,0.030056
Q_ind_234_anc_1-1,0.014244,0.014111,0.009093,0.020227
Q_ind_235_anc_1-1,0.020127,0.020013,0.013338,0.027699
Q_ind_236_anc_1-1,0.009816,0.009657,0.005368,0.015238
Q_ind_237_anc_1-1,0.034145,0.034027,0.025913,0.043237
Q_ind_238_anc_1-1,0.999843,0.999994,0.998736,1.000000
Q_ind_239_anc_1-1,0.033448,0.033303,0.023880,0.043762
Q_ind_240_anc_1-1,0.020821,0.020668,0.014136,0.028375
Q_ind_241_anc_1-1,0.022331,0.022239,0.014949,0.030820
Q_ind_242_anc_1-1,0.011466,0.011297,0.006117,0.017494
Q_ind_243_anc_1-1,0.025077,0.024878,0.016935,0.033985
Q_ind_244_anc_1-1,0.028692,0.028514,0.020325,0.038142
Q_ind_245_anc_1-1,0.015392,0.015174,0.008902,0.022947
Q_ind_246_anc_1-1,0.046504,0.046347,0.036420,0.057739
Q_ind_247_anc_1-1,0.011441,0.011376,0.006360,0.017566
Q_ind_248_anc_1-1,0.013486,0.013313,0.008181,0.019633
Q_ind_249_anc_1-1,0.022329,0.022177,0.014757,0.030813
Q_ind_250_anc_1-1,0.028258,0.028083,0.020105,0.037268
Q_ind_251_anc_1-1,0.017487,0.017369,0.011129,0.024608
Q_ind_252_anc_1-1,0.031265,0.031043,0.022858,0.040715
Q_ind_253_anc_1-1,0.046854,0.046809,0.036332,0.058506
Q_ind_254_anc_1-1,0.010888,0.010741,0.006068,0.016632
Q_ind_255_anc_1-1,0.015690,0.015530,0.009754,0.022488
Q_ind_256_anc_1-1,0.009600,0.009443,0.004778,0.015358
Q_ind_257_anc_1-1,0.015821,0.015702,0.010273,0.022269
Q_ind_258_anc_1-1,0.014255,0.014162,0.008558,0.020874
Q_ind_259_anc_1-1,0.006046,0.005877,0.001924,0.011060
Q_ind_260_anc_1-1,0.010211,0.010056,0.005294,0.016052
Q_ind_261_anc_1-1,0.016659,0.016521,0.010550,0.023483
Q_ind_262_anc_1-1,0.041582,0.041382,0.030776,0.053370
Q_ind_263_anc_1-1,0.013417,0.013259,0.008345,0.019523
Q_ind_264_anc_1-1,0.032062,0.031956,0.023228,0.042117
Q_ind_265_anc_1-1,0.028827,0.028715,0.020141,0.038343
Q_ind_266_anc_1-1,0.014631,0.014497,0.008864,0.021195
Q_ind_267_anc_1-1,0.013736,0.013513,0.008494,0.019950
Q_ind_268_anc_1-1,0.023697,0.023577,0.016380,0.031920
Q_ind_269_anc_1-1,0.015806,0.015694,0.009900,0.022656
Q_ind_270_anc_1-1,0.050050,0.049827,0.038435,0.062678
Q_ind_271_anc_1-1,0.016594,0.016414,0.009476,0.024551
Q_ind_272_anc_1-1,0.014091,0.013845,0.008006,0.021385
Q_ind_273_anc_1-1,0.013317,0.013168,0.007630,0.019799
Q_ind_274_anc_1-1,0.020401,0.020254,0.013699,0.027923
Q_ind_275_anc_1-1,0.019352,0.019144,0.012766,0.026901
Q_ind_276_anc_1-1,0.012930,0.012756,0.006974,0.020048
Q_ind_277_anc_1-1,0.000229,0.000000,0.000000,0.002401
Q_ind_278_anc_1-1,0.020739,0.020518,0.011187,0.031220
Q_ind_279_anc_1-1,0.015334,0.015205,0.007343,0.024310
Q_ind_280_anc_1-1,0.999941,0.999999,0.999476,1.000000
Q_ind_281_anc_1-1,0.013183,0.012932,0.006267,0.021495
Q_ind_282_anc_1-1,0.976402,0.976499,0.969946,0.982386
Q_ind_283_anc_1-1,0.999950,0.999999,0.999549,1.000000
Q_ind_284_anc_1-1,0.985516,0.985634,0.979833,0.990427
Q_ind_285_anc_1-1,0.014714,0.014577,0.006558,0.023327
Q_ind_286_anc_1-1,0.006335,0.006099,0.000000,0.015492
Q_ind_287_anc_1-1,0.021783,0.021708,0.012220,0.032208
Q_ind_288_anc_1-1,0.012637,0.012530,0.001195,0.022384
Q_ind_289_anc_1-1,0.015736,0.015541,0.008533,0.024267
Q_ind_290_anc_1-1,0.000067,0.000000,0.000000,0.000740
Q_ind_291_anc_1-1,0.016324,0.016161,0.008751,0.024881
Q_ind_292_anc_1-1,0.016124,0.015941,0.007577,0.025849
Q_ind_293_anc_1-1,0.016497,0.016338,0.008856,0.025164
Q_ind_294_anc_1-1,0.999869,0.999993,0.999064,1.000000
Q_ind_295_anc_1-1,0.015019,0.014957,0.005777,0.024457
Q_ind_296_anc_1-1,0.964251,0.964406,0.955922,0.971679
Q_ind_297_anc_1-1,0.011053,0.010759,0.005144,0.018399
Q_ind_298_anc_1-1,0.027793,0.027675,0.015170,0.040689
Q_ind_299_anc_1-1,0.000033,0.000000,0.000000,0.000337
Q_ind_300_anc_1-1,0.000037,0.000000,0.000000,0.000427
Q_ind_301_anc_1-1,0.000030,0.000000,0.000000,0.000311
Q_ind_302_anc_1-1,0.000025,0.000000,0.000000,0.000255
Q_ind_303_anc_1-1,0.000036,0.000000,0.000000,0.000383
Q_ind_304_anc_1-1,0.000032,0.000000,0.000000,0.000357
Q_ind_305_anc_1-1,0.000030,0.000000,0.000000,0.000337
Q_ind_306_anc_1-1,0.000036,0.000000,0.000000,0.000388
Q_ind_307_anc_1-1,0.000033,0.000000,0.000000,0.000337
Q_ind_308_anc_1-1,0.019812,0.019589,0.012006,0.028620
Q_ind_309_anc_1-1,0.999942,0.999999,0.999485,1.000000
Q_ind_310_anc_1-1,0.029946,0.029726,0.019250,0.041545
Q_ind_311_anc_1-1,0.063031,0.062920,0.047044,0.079843
Q_ind_312_anc_1-1,0.000028,0.000000,0.000000,0.000307
Q_ind_313_anc_1-1,0.000042,0.000000,0.000000,0.000454
Q_ind_314_anc_1-1,0.999068,0.999931,0.994529,1.000000
Q_ind_315_anc_1-1,0.012913,0.012700,0.005653,0.021265
Q_ind_316_anc_1-1,0.007453,0.007263,0.002885,0.013053
Q_ind_317_anc_1-1,0.020061,0.019840,0.013443,0.027737
Q_ind_318_anc_1-1,0.008606,0.008449,0.004351,0.013980
Q_ind_319_anc_1-1,0.011422,0.011270,0.006450,0.017347
Q_ind_320_anc_1-1,0.925581,0.925717,0.915548,0.935054
Q_ind_321_anc_1-1,0.074747,0.074691,0.061545,0.088403
Q_ind_322_anc_1-1,0.999951,0.999999,0.999572,1.000000
Q_ind_323_anc_1-1,0.999377,0.999656,0.997424,1.000000
Q_ind_324_anc_1-1,0.975844,0.975952,0.969733,0.981383
Q_ind_325_anc_1-1,0.993172,0.993271,0.989601,0.996106
Q_ind_326_anc_1-1,0.999936,0.999998,0.999435,1.000000
Q_ind_327_anc_1-1,0.999954,0.999999,0.999588,1.000000
Q_ind_328_anc_1-1,0.974390,0.974480,0.968205,0.980092
Q_ind_329_anc_1-1,0.969892,0.970012,0.963073,0.975927
Q_ind_330_anc_1-1,0.999935,0.999999,0.999418,1.000000
Q_ind_331_anc_1-1,0.999958,0.999999,0.999646,1.000000
Q_ind_332_anc_1-1,0.010841,0.010713,0.006003,0.016586
Q_ind_333_anc_1-1,0.855452,0.855562,0.842452,0.867758
Q_ind_334_anc_1-1,0.015392,0.015243,0.009726,0.021957
Q_ind_335_anc_1-1,0.014770,0.014639,0.008691,0.021561
Q_ind_336_anc_1-1,0.000032,0.000000,0.000000,0.000374
Q_ind_337_anc_1-1,0.057010,0.056870,0.045951,0.068499
Q_ind_338_anc_1-1,0.006211,0.006036,0.002442,0.011019
Q_ind_339_anc_1-1,0.989299,0.989410,0.983467,0.994173
Q_ind_340_anc_1-1,0.982763,0.982917,0.975290,0.989791
Q_ind_341_anc_1-1,0.175568,0.175594,0.154440,0.196431
Q_ind_342_anc_1-1,0.006289,0.006089,0.002086,0.011594
Q_ind_343_anc_1-1,0.000018,0.000000,0.000000,0.000198
Q_ind_344_anc_1-1,0.002829,0.002651,0.000499,0.005866
Q_ind_345_anc_1-1,0.999779,0.999986,0.998462,1.000000
Q_ind_346_anc_1-1,0.963313,0.963444,0.955862,0.970164
Q_ind_347_anc_1-1,0.999836,0.999993,0.998699,1.000000
Q_ind_348_anc_1-1,0.951940,0.952099,0.942304,0.960861
Q_ind_349_anc_1-1,0.015492,0.015321,0.009415,0.022510
Q_ind_350_anc_1-1,0.014607,0.014485,0.009049,0.021132
Q_ind_351_anc_1-1,0.999957,0.999999,0.999627,1.000000
Q_ind_352_anc_1-1,0.006597,0.006406,0.002836,0.011497
Q_ind_353_anc_1-1,0.999915,0.999997,0.999323,1.000000
Q_ind_354_anc_1-1,0.007633,0.007453,0.003451,0.012869
Q_ind_355_anc_1-1,0.063303,0.063149,0.051809,0.075341
Q_ind_356_anc_1-1,0.012070,0.011909,0.007216,0.017882
Q_ind_357_anc_1-1,0.006516,0.006317,0.002624,0.011382
Q_ind_358_anc_1-1,0.999931,0.999998,0.999408,1.000000
Q_ind_359_anc_1-1,0.999924,0.999998,0.999360,1.000000
Q_ind_360_anc_1-1,0.015056,0.014853,0.009831,0.021344
Q_ind_361_anc_1-1,0.006098,0.005932,0.002290,0.010829
Q_ind_362_anc_1-1,0.009961,0.009805,0.005639,0.015219
Q_ind_363_anc_1-1,0.007900,0.007724,0.003708,0.013269
Q_ind_364_anc_1-1,0.979331,0.979422,0.972478,0.985449
Q_ind_365_anc_1-1,0.020818,0.020731,0.013907,0.028246
Q_ind_366_anc_1-1,0.007696,0.007563,0.003322,0.013089
Q_ind_367_anc_1-1,0.014915,0.014766,0.009003,0.021727
Q_ind_368_anc_1-1,0.997196,0.997327,0.994393,0.999453
Q_ind_369_anc_1-1,0.980739,0.980860,0.974696,0.986133
Q_ind_370_anc_1-1,0.992600,0.992717,0.988347,0.996091
Q_ind_371_anc_1-1,0.938893,0.939063,0.927590,0.949677
Q_ind_372_anc_1-1,0.964227,0.964344,0.955768,0.971757
Q_ind_373_anc_1-1,0.965761,0.965862,0.958203,0.972634
Q_ind_374_anc_1-1,0.006116,0.005915,0.001819,0.011510
Q_ind_375_anc_1-1,0.984470,0.984603,0.979030,0.989183
Q_ind_376_anc_1-1,0.996538,0.996686,0.993190,0.998999
Q_ind_377_anc_1-1,0.014440,0.014311,0.008512,0.020921
Q_ind_378_anc_1-1,0.997053,0.997161,0.994266,0.999276
Q_ind_379_anc_1-1,0.017212,0.017059,0.010836,0.024429
