param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_169_anc_1-1,0.999982,1.000000,0.999783,1.000000
Q_ind_170_anc_1-1,0.999984,1.000000,0.999824,1.000000
Q_ind_171_anc_1-1,0.999985,1.000000,0.999837,1.000000
Q_ind_172_anc_1-1,0.999982,1.000000,0.999779,1.000000
Q_ind_173_anc_1-1,0.999987,1.000000,0.999845,1.000000
Q_ind_174_anc_1-1,0.999981,1.000000,0.999782,1.000000
Q_ind_175_anc_1-1,0.999979,1.000000,0.999761,1.000000
Q_ind_176_anc_1-1,0.999982,1.000000,0.999809,1.000000
Q_ind_177_anc_1-1,0.999972,1.000000,0.999679,1.000000
Q_ind_178_anc_1-1,0.999969,1.000000,0.999650,1.000000
Q_ind_179_anc_1-1,0.999987,1.000000,0.999835,1.000000
Q_ind_180_anc_1-1,0.999962,1.000000,0.999536,1.000000
Q_ind_181_anc_1-1,0.999942,1.000000,0.999284,1.000000
Q_ind_182_anc_1-1,0.999978,1.000000,0.999744,1.000000
Q_ind_183_anc_1-1,0.999981,1.000000,0.999785,1.000000
Q_ind_184_anc_1-1,0.999986,1.000000,0.999837,1.000000
Q_ind_185_anc_1-1,0.999980,1.000000,0.999778,1.000000
Q_ind_186_anc_1-1,0.999980,1.000000,0.999773,1.000000
Q_ind_187_anc_1-1,0.999980,1.000000,0.999753,1.000000
Q_ind_188_anc_1-1,0.999986,1.000000,0.999832,1.000000
Q_ind_189_anc_1-1,0.999986,1.000000,0.999843,1.000000
Q_ind_190_anc_1-1,0.999987,1.000000,0.999864,1.000000
Q_ind_191_anc_1-1,0.999979,1.000000,0.999743,1.000000
Q_ind_192_anc_1-1,0.999983,1.000000,0.999808,1.000000
Q_ind_193_anc_1-1,0.002413,0.002296,0.000958,0.004498
Q_ind_194_anc_1-1,0.999976,1.000000,0.999724,1.000000
Q_ind_195_anc_1-1,0.999976,1.000000,0.999714,1.000000
Q_ind_196_anc_1-1,0.999986,1.000000,0.999838,1.000000
Q_ind_197_anc_1-1,0.999975,1.000000,0.999728,1.000000
Q_ind_198_anc_1-1,0.000989,0.000859,0.000000,0.002812
Q_ind_199_anc_1-1,0.000009,0.000000,0.000000,0.000099
Q_ind_200_anc_1-1,0.999985,1.000000,0.999835,1.000000
Q_ind_201_anc_1-1,0.999968,1.000000,0.999626,1.000000
Q_ind_202_anc_1-1,0.999966,1.000000,0.999583,1.000000
Q_ind_203_anc_1-1,0.999985,1.000000,0.999823,1.000000
Q_ind_204_anc_1-1,0.999984,1.000000,0.999813,1.000000
Q_ind_205_anc_1-1,0.679005,0.679019,0.662093,0.696387
Q_ind_206_anc_1-1,0.999983,1.000000,0.999803,1.000000
Q_ind_207_anc_1-1,0.999957,1.000000,0.999495,1.000000
Q_ind_208_anc_1-1,0.999978,1.000000,0.999753,1.000000
Q_ind_209_anc_1-1,0.999986,1.000000,0.999829,1.000000
Q_ind_210_anc_1-1,0.241880,0.241814,0.225733,0.258983
Q_ind_211_anc_1-1,0.999986,1.000000,0.999843,1.000000
Q_ind_212_anc_1-1,0.999986,1.000000,0.999836,1.000000
Q_ind_213_anc_1-1,0.999985,1.000000,0.999838,1.000000
Q_ind_214_anc_1-1,0.999981,1.000000,0.999793,1.000000
