param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_215_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_216_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_217_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_218_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_219_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_220_anc_1-1,0.000003,0.000000,0.000000,0.000017
Q_ind_221_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_222_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_223_anc_1-1,0.000045,0.000000,0.000000,0.000481
Q_ind_224_anc_1-1,0.000002,0.000000,0.000000,0.000007
Q_ind_225_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_226_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_227_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_228_anc_1-1,0.000003,0.000000,0.000000,0.000018
Q_ind_229_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_230_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_231_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_232_anc_1-1,0.000002,0.000000,0.000000,0.000014
Q_ind_233_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_234_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_235_anc_1-1,0.000003,0.000000,0.000000,0.000016
Q_ind_236_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_237_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_238_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_239_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_240_anc_1-1,0.000002,0.000000,0.000000,0.000012
Q_ind_241_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_242_anc_1-1,0.000002,0.000000,0.000000,0.000013
Q_ind_243_anc_1-1,0.000002,0.000000,0.000000,0.000013
Q_ind_244_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_245_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_246_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_247_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_248_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_249_anc_1-1,0.000002,0.000000,0.000000,0.000007
Q_ind_250_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_251_anc_1-1,0.000002,0.000000,0.000000,0.000013
Q_ind_252_anc_1-1,0.000002,0.000000,0.000000,0.000012
