param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_131_pop_0,0.007586,0.007488,0.004827,0.010898
q_ind_132_pop_0,0.999982,1.000000,0.999810,1.000000
q_ind_133_pop_0,0.999990,1.000000,0.999875,1.000000
q_ind_134_pop_0,0.005768,0.005692,0.003174,0.008887
q_ind_135_pop_0,0.999984,1.000000,0.999808,1.000000
q_ind_136_pop_0,0.007341,0.007215,0.004375,0.010904
q_ind_137_pop_0,0.999990,1.000000,0.999890,1.000000
q_ind_138_pop_0,0.003915,0.003805,0.001753,0.006701
q_ind_139_pop_0,0.012530,0.012437,0.008818,0.016816
q_ind_140_pop_0,0.004721,0.004597,0.002476,0.007655
q_ind_141_pop_0,0.999981,1.000000,0.999793,1.000000
q_ind_142_pop_0,0.999987,1.000000,0.999856,1.000000
q_ind_143_pop_0,0.999987,1.000000,0.999859,1.000000
q_ind_144_pop_0,0.999989,1.000000,0.999882,1.000000
q_ind_145_pop_0,0.999989,1.000000,0.999882,1.000000
q_ind_146_pop_0,0.999991,1.000000,0.999895,1.000000
q_ind_147_pop_0,0.999976,1.000000,0.999726,1.000000
q_ind_148_pop_0,0.999989,1.000000,0.999879,1.000000
q_ind_149_pop_0,0.999989,1.000000,0.999872,1.000000
q_ind_150_pop_0,0.999990,1.000000,0.999896,1.000000
q_ind_151_pop_0,0.999990,1.000000,0.999887,1.000000
q_ind_152_pop_0,0.999989,1.000000,0.999867,1.000000
q_ind_153_pop_0,0.999990,1.000000,0.999882,1.000000
q_ind_154_pop_0,0.999986,1.000000,0.999839,1.000000
q_ind_155_pop_0,0.999402,0.999998,0.996702,1.000000
q_ind_156_pop_0,0.999983,1.000000,0.999787,1.000000
q_ind_157_pop_0,0.999991,1.000000,0.999892,1.000000
q_ind_158_pop_0,0.999991,1.000000,0.999883,1.000000
q_ind_159_pop_0,0.999989,1.000000,0.999883,1.000000
q_ind_160_pop_0,0.999983,1.000000,0.999804,1.000000
q_ind_161_pop_0,0.999986,1.000000,0.999847,1.000000
q_ind_162_pop_0,0.999988,1.000000,0.999868,1.000000
q_ind_163_pop_0,0.999990,1.000000,0.999889,1.000000
q_ind_164_pop_0,0.999990,1.000000,0.999876,1.000000
q_ind_165_pop_0,0.999942,1.000000,0.999400,1.000000
q_ind_166_pop_0,0.999990,1.000000,0.999890,1.000000
q_ind_167_pop_0,0.999989,1.000000,0.999890,1.000000
q_ind_168_pop_0,0.999987,1.000000,0.999849,1.000000
q_ind_169_pop_0,0.999988,1.000000,0.999871,1.000000
q_ind_170_pop_0,0.999989,1.000000,0.999882,1.000000
q_ind_171_pop_0,0.999986,1.000000,0.999833,1.000000
q_ind_172_pop_0,0.999991,1.000000,0.999897,1.000000
